                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.2187,                0.88993,                 1.0585,                0.66606,                0.28972,                0.32675,                0.21054,                 1.1909,                 0.8294,                 1.0135,               0.007756,               0.007756,               0.007756
                     37,                 1.2167,                0.88772,                 1.0573,                0.66831,                0.28919,                 0.3271,                0.21074,                 1.1905,                0.82861,                 1.0132,                0.00769,                0.00769,                0.00769
                     38,                 1.2143,                0.88474,                 1.0561,                 0.6662,                0.29022,                0.32753,                0.21109,                 1.1901,                0.82772,                  1.013,               0.007624,               0.007624,               0.007624
                     39,                 1.2131,                0.88453,                 1.0571,                0.66612,                0.29038,                0.32805,                0.21132,                 1.1899,                0.82712,                 1.0128,               0.007558,               0.007558,               0.007558
                     40,                 1.2146,                0.87909,                 1.0557,                0.66438,                0.29105,                0.32834,                0.21161,                 1.1897,                0.82639,                 1.0126,               0.007492,               0.007492,               0.007492
                     41,                   1.21,                 0.8792,                 1.0551,                0.66553,                0.29044,                0.32861,                 0.2117,                 1.1895,                0.82563,                 1.0124,               0.007426,               0.007426,               0.007426
                     42,                 1.2096,                0.87863,                 1.0548,                0.66626,                0.29026,                0.32856,                0.21172,                 1.1894,                0.82493,                 1.0123,                0.00736,                0.00736,                0.00736
                     43,                 1.2104,                0.87772,                 1.0547,                0.66095,                 0.2917,                0.32884,                  0.212,                 1.1893,                0.82445,                 1.0121,               0.007294,               0.007294,               0.007294
                     44,                  1.205,                0.87224,                 1.0526,                0.66168,                0.29183,                  0.329,                0.21206,                  1.189,                0.82395,                 1.0121,               0.007228,               0.007228,               0.007228
                     45,                 1.2039,                0.87119,                 1.0534,                0.66126,                0.29252,                0.32948,                0.21236,                  1.189,                0.82357,                 1.0119,               0.007162,               0.007162,               0.007162
                     46,                 1.2024,                 0.8676,                   1.05,                0.66207,                0.29266,                0.32992,                0.21269,                 1.1887,                0.82305,                 1.0117,               0.007096,               0.007096,               0.007096
                     47,                 1.2037,                0.86849,                 1.0498,                0.66155,                0.29329,                0.33013,                0.21285,                 1.1884,                0.82245,                 1.0116,                0.00703,                0.00703,                0.00703
                     48,                 1.2028,                0.86944,                   1.05,                0.66271,                0.29355,                0.33041,                0.21315,                 1.1881,                0.82182,                 1.0114,               0.006964,               0.006964,               0.006964
                     49,                 1.2007,                 0.8656,                 1.0492,                0.66263,                0.29437,                0.33081,                0.21339,                 1.1879,                0.82134,                 1.0113,               0.006898,               0.006898,               0.006898
                     50,                 1.2006,                0.86416,                 1.0498,                0.66187,                0.29467,                0.33103,                0.21358,                 1.1876,                0.82063,                 1.0111,               0.006832,               0.006832,               0.006832
                     51,                 1.1976,                0.86263,                 1.0474,                0.66436,                0.29398,                0.33135,                0.21363,                 1.1872,                0.81994,                 1.0108,               0.006766,               0.006766,               0.006766
                     52,                 1.1971,                0.85862,                 1.0487,                0.66447,                0.29416,                0.33153,                0.21377,                 1.1868,                0.81926,                 1.0106,                 0.0067,                 0.0067,                 0.0067
                     53,                 1.1978,                0.86226,                 1.0473,                0.66362,                0.29519,                0.33164,                0.21396,                 1.1863,                0.81886,                 1.0103,               0.006634,               0.006634,               0.006634
                     54,                 1.1928,                0.85597,                 1.0456,                0.73171,                 0.2955,                0.33188,                0.21413,                 1.1859,                0.81811,                   1.01,               0.006568,               0.006568,               0.006568
                     55,                 1.1917,                 0.8568,                 1.0459,                0.72958,                0.29605,                0.33203,                0.21429,                 1.1857,                0.81755,                 1.0098,               0.006502,               0.006502,               0.006502
                     56,                 1.1908,                0.85461,                 1.0458,                0.73157,                0.29614,                0.33207,                0.21439,                 1.1853,                0.81691,                 1.0095,               0.006436,               0.006436,               0.006436
                     57,                 1.1909,                0.85444,                  1.045,                0.73348,                0.29586,                0.33224,                0.21438,                 1.1851,                0.81617,                 1.0094,                0.00637,                0.00637,                0.00637
                     58,                 1.1929,                0.85402,                 1.0459,                0.73594,                0.29582,                 0.3325,                0.21451,                 1.1848,                0.81551,                 1.0092,               0.006304,               0.006304,               0.006304
                     59,                 1.1915,                0.84972,                 1.0441,                0.73645,                0.29603,                0.33313,                 0.2149,                 1.1841,                 0.8148,                 1.0089,               0.006238,               0.006238,               0.006238
                     60,                 1.1878,                0.85003,                 1.0426,                0.73711,                0.29571,                0.33326,                0.21504,                 1.1839,                0.81424,                 1.0087,               0.006172,               0.006172,               0.006172
                     61,                 1.1886,                0.85059,                 1.0431,                 0.7382,                0.29537,                0.33337,                0.21511,                 1.1834,                0.81366,                 1.0084,               0.006106,               0.006106,               0.006106
                     62,                 1.1887,                0.84814,                  1.042,                0.73786,                0.29561,                0.33358,                0.21511,                 1.1832,                0.81288,                 1.0081,                0.00604,                0.00604,                0.00604
                     63,                 1.1883,                0.84496,                 1.0422,                0.74025,                  0.295,                0.33394,                0.21535,                 1.1826,                 0.8121,                 1.0077,               0.005974,               0.005974,               0.005974
                     64,                 1.1872,                 0.8451,                 1.0417,                0.73973,                0.29515,                0.33409,                0.21545,                 1.1825,                 0.8117,                 1.0075,               0.005908,               0.005908,               0.005908
                     65,                  1.184,                0.84267,                 1.0401,                0.67467,                0.29562,                0.33435,                0.21552,                 1.1822,                0.81117,                 1.0073,               0.005842,               0.005842,               0.005842
                     66,                 1.1842,                0.84167,                 1.0394,                0.67558,                0.29552,                0.33456,                0.21565,                  1.182,                0.81069,                  1.007,               0.005776,               0.005776,               0.005776
                     67,                 1.1853,                0.83839,                 1.0393,                0.67557,                0.29553,                0.33492,                0.21587,                 1.1818,                0.80989,                 1.0068,                0.00571,                0.00571,                0.00571
                     68,                 1.1783,                0.83849,                 1.0404,                0.67478,                0.29575,                  0.335,                0.21594,                 1.1815,                 0.8096,                 1.0066,               0.005644,               0.005644,               0.005644
                     69,                 1.1816,                0.83657,                 1.0392,                 0.6715,                0.29655,                0.33512,                0.21612,                 1.1811,                0.80899,                 1.0062,               0.005578,               0.005578,               0.005578
                     70,                 1.1801,                0.83536,                 1.0378,                 0.6745,                0.29617,                0.33524,                0.21628,                 1.1806,                0.80827,                 1.0059,               0.005512,               0.005512,               0.005512
                     71,                 1.1803,                0.83471,                 1.0387,                0.67577,                 0.2959,                0.33543,                 0.2164,                 1.1803,                0.80757,                 1.0057,               0.005446,               0.005446,               0.005446
                     72,                 1.1776,                0.83422,                 1.0373,                0.67578,                0.29657,                0.33569,                0.21648,                 1.1801,                0.80698,                 1.0054,                0.00538,                0.00538,                0.00538
                     73,                 1.1781,                0.83216,                 1.0377,                0.67653,                 0.2964,                0.33597,                0.21657,                 1.1797,                0.80651,                 1.0053,               0.005314,               0.005314,               0.005314
                     74,                 1.1739,                0.82747,                  1.035,                 0.6755,                0.29621,                0.33591,                0.21665,                 1.1797,                0.80612,                 1.0051,               0.005248,               0.005248,               0.005248
                     75,                 1.1773,                0.83053,                 1.0366,                0.67684,                0.29609,                0.33601,                0.21669,                 1.1796,                0.80573,                  1.005,               0.005182,               0.005182,               0.005182
                     76,                  1.173,                0.82569,                 1.0349,                0.67317,                0.29736,                0.33621,                 0.2168,                 1.1793,                 0.8054,                 1.0048,               0.005116,               0.005116,               0.005116
                     77,                  1.174,                 0.8277,                 1.0355,                0.67494,                0.29706,                 0.3362,                0.21688,                 1.1792,                0.80495,                 1.0046,                0.00505,                0.00505,                0.00505
                     78,                 1.1724,                0.82572,                 1.0346,                0.67271,                0.29711,                0.33638,                0.21704,                 1.1789,                0.80422,                 1.0044,               0.004984,               0.004984,               0.004984
                     79,                 1.1715,                 0.8255,                 1.0337,                0.67858,                0.29632,                0.33658,                0.21718,                 1.1788,                0.80397,                 1.0044,               0.004918,               0.004918,               0.004918
                     80,                 1.1731,                0.82467,                  1.034,                0.67882,                0.29644,                0.33669,                0.21722,                 1.1787,                0.80368,                 1.0042,               0.004852,               0.004852,               0.004852
                     81,                 1.1683,                 0.8219,                 1.0321,                0.67815,                0.29732,                0.33677,                0.21731,                 1.1784,                0.80322,                 1.0041,               0.004786,               0.004786,               0.004786
                     82,                  1.168,                0.81994,                 1.0323,                0.67649,                0.29778,                0.33697,                 0.2174,                 1.1782,                0.80267,                 1.0039,                0.00472,                0.00472,                0.00472
                     83,                 1.1642,                0.81919,                  1.031,                0.67491,                0.29817,                0.33723,                0.21751,                 1.1782,                0.80245,                 1.0037,               0.004654,               0.004654,               0.004654
                     84,                 1.1659,                0.81952,                 1.0314,                0.67257,                 0.2986,                 0.3373,                0.21769,                 1.1779,                0.80191,                 1.0035,               0.004588,               0.004588,               0.004588
                     85,                 1.1637,                0.81498,                 1.0304,                0.67386,                0.29844,                0.33754,                0.21784,                 1.1776,                0.80146,                 1.0033,               0.004522,               0.004522,               0.004522
                     86,                 1.1626,                0.81237,                   1.03,                0.67372,                0.29827,                0.33757,                0.21786,                 1.1774,                0.80096,                 1.0031,               0.004456,               0.004456,               0.004456
                     87,                 1.1633,                0.81447,                 1.0301,                0.67664,                0.29702,                0.33748,                0.21786,                 1.1772,                0.80062,                 1.0029,                0.00439,                0.00439,                0.00439
                     88,                  1.161,                0.81126,                 1.0272,                0.67447,                0.29799,                0.33755,                0.21787,                 1.1769,                0.80011,                 1.0027,               0.004324,               0.004324,               0.004324
                     89,                 1.1594,                0.80882,                 1.0277,                0.67452,                0.29897,                0.33802,                0.21805,                 1.1768,                0.79979,                 1.0026,               0.004258,               0.004258,               0.004258
                     90,                 1.1596,                0.81067,                 1.0286,                0.67747,                0.29843,                0.33809,                0.21822,                 1.1765,                0.79947,                 1.0023,               0.004192,               0.004192,               0.004192
                     91,                 1.1599,                0.81137,                 1.0291,                0.67533,                0.29899,                0.33813,                0.21835,                 1.1762,                0.79893,                 1.0021,               0.004126,               0.004126,               0.004126
                     92,                 1.1568,                0.80512,                 1.0265,                0.67609,                0.29904,                 0.3382,                0.21844,                 1.1759,                0.79856,                 1.0019,                0.00406,                0.00406,                0.00406
                     93,                 1.1552,                0.80614,                 1.0264,                0.67357,                0.29973,                0.33848,                0.21854,                 1.1758,                0.79816,                 1.0017,               0.003994,               0.003994,               0.003994
                     94,                 1.1527,                0.80398,                  1.026,                0.67436,                    0.3,                0.33881,                0.21862,                 1.1756,                0.79757,                 1.0014,               0.003928,               0.003928,               0.003928
                     95,                 1.1524,                0.80037,                  1.025,                0.67696,                0.29963,                0.33903,                0.21872,                 1.1754,                0.79704,                 1.0013,               0.003862,               0.003862,               0.003862
                     96,                 1.1535,                0.80286,                 1.0241,                0.67682,                0.30011,                0.33935,                0.21902,                 1.1751,                0.79675,                  1.001,               0.003796,               0.003796,               0.003796
                     97,                 1.1505,                0.79919,                 1.0255,                0.67786,                 0.2998,                0.33967,                0.21918,                 1.1751,                0.79636,                 1.0009,                0.00373,                0.00373,                0.00373
                     98,                 1.1508,                0.79801,                 1.0251,                0.67728,                0.29979,                0.33983,                0.21917,                  1.175,                0.79616,                 1.0007,               0.003664,               0.003664,               0.003664
                     99,                 1.1506,                0.79685,                 1.0237,                0.67838,                0.29994,                0.34007,                0.21923,                 1.1746,                0.79564,                 1.0004,               0.003598,               0.003598,               0.003598
                    100,                 1.1492,                0.79595,                 1.0238,                0.68014,                0.29994,                0.34035,                0.21941,                 1.1743,                0.79545,                 1.0003,               0.003532,               0.003532,               0.003532
                    101,                 1.1466,                0.79133,                 1.0223,                0.67938,                0.30036,                0.34034,                0.21948,                 1.1742,                0.79513,                 1.0001,               0.003466,               0.003466,               0.003466
                    102,                  1.147,                0.79276,                 1.0236,                0.68028,                0.30064,                0.34068,                0.21951,                 1.1741,                0.79482,                0.99996,                 0.0034,                 0.0034,                 0.0034
                    103,                 1.1446,                0.79103,                 1.0211,                0.68146,                0.30059,                0.34073,                0.21957,                 1.1739,                0.79454,                0.99978,               0.003334,               0.003334,               0.003334
                    104,                 1.1437,                0.78922,                   1.02,                0.67847,                 0.3016,                0.34074,                0.21964,                 1.1736,                0.79417,                 0.9996,               0.003268,               0.003268,               0.003268
