                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.41228,                0.23399,                0.82907,                0.94595,                0.89847,                0.97113,                0.67356,                0.89206,                0.44476,                 1.0298,              0.0082675,              0.0082675,              0.0082675
                     38,                0.41024,                 0.2337,                0.83013,                0.94814,                0.89793,                0.97112,                0.67378,                0.89197,                0.44314,                 1.0295,               0.008218,               0.008218,               0.008218
                     39,                0.40911,                0.23339,                0.83006,                0.95125,                0.89629,                0.97121,                0.67523,                0.89128,                0.44131,                 1.0294,              0.0081685,              0.0081685,              0.0081685
                     40,                0.40785,                0.23155,                0.82861,                0.94964,                0.89656,                0.97125,                0.67347,                0.89089,                 0.4406,                 1.0293,               0.008119,               0.008119,               0.008119
                     41,                0.40491,                0.23125,                0.82797,                0.91421,                 0.9317,                0.97039,                0.67256,                0.89139,                0.44227,                 1.0298,              0.0080695,              0.0080695,              0.0080695
                     42,                0.40229,                0.23011,                0.82677,                0.91352,                0.92997,                0.97004,                0.67268,                0.89146,                0.44566,                 1.0299,                0.00802,                0.00802,                0.00802
                     43,                0.40178,                0.22917,                0.82805,                0.91208,                0.93068,                0.97009,                 0.6728,                0.89147,                0.44616,                 1.0301,              0.0079705,              0.0079705,              0.0079705
                     44,                0.40131,                0.22826,                0.82624,                0.90962,                0.93079,                  0.967,                0.67296,                0.89139,                0.44554,                 1.0298,               0.007921,               0.007921,               0.007921
                     45,                0.39901,                0.22722,                 0.8265,                 0.9124,                0.92417,                0.96681,                0.67292,                0.89166,                0.44497,                 1.0297,              0.0078715,              0.0078715,              0.0078715
                     46,                0.39595,                0.22561,                0.82776,                 0.9123,                 0.9245,                0.96617,                0.67374,                0.89217,                0.44353,                 1.0296,               0.007822,               0.007822,               0.007822
                     47,                 0.3958,                0.22504,                0.82624,                0.91419,                0.92836,                0.96912,                0.67325,                0.89301,                0.44472,                 1.0297,              0.0077725,              0.0077725,              0.0077725
                     48,                0.39296,                 0.2245,                0.82468,                 0.9186,                0.92762,                0.97174,                0.67456,                0.89328,                0.44572,                 1.0302,               0.007723,               0.007723,               0.007723
                     49,                0.39219,                0.22378,                0.82386,                0.92339,                0.91712,                0.96836,                0.67291,                0.89338,                0.44653,                 1.0304,              0.0076735,              0.0076735,              0.0076735
                     50,                0.39088,                0.22255,                0.82383,                0.91322,                0.92849,                0.97113,                0.67298,                0.89353,                0.44642,                 1.0304,               0.007624,               0.007624,               0.007624
                     51,                0.39118,                0.22262,                0.82405,                0.93585,                0.90879,                0.97145,                0.67251,                0.89412,                0.44732,                 1.0308,              0.0075745,              0.0075745,              0.0075745
                     52,                0.38878,                0.22237,                0.82339,                0.93091,                0.90703,                0.96977,                 0.6727,                0.89467,                0.44864,                 1.0312,               0.007525,               0.007525,               0.007525
                     53,                0.38789,                 0.2207,                0.82465,                0.94016,                0.90257,                0.97069,                0.67239,                0.89514,                0.44841,                 1.0316,              0.0074755,              0.0074755,              0.0074755
                     54,                0.38633,                0.22091,                 0.8224,                0.91286,                0.93159,                 0.9706,                0.67171,                0.89589,                0.44895,                  1.032,               0.007426,               0.007426,               0.007426
                     55,                0.38549,                0.21985,                0.82266,                0.91232,                0.93371,                0.97038,                0.67188,                0.89631,                0.44891,                 1.0324,              0.0073765,              0.0073765,              0.0073765
                     56,                0.38239,                0.21928,                0.82146,                0.91386,                0.93088,                0.96982,                0.67177,                0.89661,                0.44739,                 1.0323,               0.007327,               0.007327,               0.007327
                     57,                0.38184,                0.21829,                0.82127,                0.92706,                0.91314,                0.96922,                0.67233,                0.89673,                0.44935,                 1.0329,              0.0072775,              0.0072775,              0.0072775
                     58,                0.38269,                0.21914,                0.82194,                0.91558,                0.92286,                0.96917,                0.67309,                 0.8966,                 0.4511,                 1.0328,               0.007228,               0.007228,               0.007228
                     59,                0.37949,                0.21764,                0.82032,                0.91489,                0.92599,                0.96861,                0.67328,                0.89645,                 0.4517,                 1.0329,              0.0071785,              0.0071785,              0.0071785
                     60,                0.37883,                0.21644,                0.82084,                0.91814,                0.92679,                0.96826,                0.67358,                0.89681,                 0.4522,                 1.0331,               0.007129,               0.007129,               0.007129
